surah,ayah,page,word_count
8,18,179,6
8,19,179,24
8,20,179,11
8,21,179,8
8,22,179,10
8,23,179,11
8,24,179,20
8,25,179,13
8,26,180,19
8,27,180,11
8,28,180,10
8,29,180,18
8,30,180,16
8,31,180,17
8,32,180,19
8,33,180,12
8,34,181,21
8,35,181,13
8,36,181,21
8,37,181,18
8,38,181,16
8,39,181,16
8,40,181,10
8,41,182,33
8,42,182,35
8,43,182,20
8,44,182,19
8,45,182,12
8,46,183,13
8,47,183,17
8,48,183,36
8,49,183,18
8,50,183,13
8,51,183,9
8,52,183,17
8,53,184,18
8,54,184,17
8,55,184,10
8,56,184,12
8,57,184,10
8,58,184,14
8,59,184,8
8,60,184,33
8,61,184,12
8,62,185,12
8,63,185,20
8,64,185,8
8,65,185,26
8,66,185,26
8,67,185,20
8,68,185,10
8,69,185,11
8,70,186,24
8,71,186,13
8,72,186,45
8,73,186,13
8,74,186,18
8,75,186,22
9,1,187,9
9,2,187,14
9,3,187,32
9,4,187,22
9,5,187,26
9,6,187,18
9,7,188,23
9,8,188,16
9,9,188,13
9,10,188,10
9,11,188,13
9,12,188,18
9,13,188,20
9,14,189,11
9,15,189,11
9,16,189,24
9,17,189,18
9,18,189,23
9,19,189,24
9,20,189,16
9,21,190,10
9,22,190,8
9,23,190,19
9,24,190,33
9,25,190,23
9,26,190,18
9,27,191,12
9,28,191,27
9,29,191,29
9,30,191,23
9,31,191,23
9,32,192,15
9,33,192,14
9,34,192,28
9,35,192,19
9,36,192,36
9,37,193,31
9,38,193,28
9,39,193,16
9,40,193,43
9,41,194,15
9,42,194,23
9,43,194,13
9,44,194,14
9,45,194,14
9,46,194,15
9,47,194,17
9,48,195,16
9,49,195,15
9,50,195,16
9,51,195,14
9,52,195,22
9,53,195,12
9,54,195,22
9,55,196,17
9,56,196,10
9,57,196,11
9,58,196,16
9,59,196,19
9,60,196,22
9,61,196,26
9,62,197,12
9,63,197,16
9,64,197,17
9,65,197,13
9,66,197,16
9,67,197,19
9,68,197,16
9,69,198,32
9,70,198,26
9,71,198,24
9,72,198,24
9,73,199,11
9,74,199,46
9,75,199,12
9,76,199,9
9,77,199,15
9,78,199,11
9,79,199,20
9,80,200,25
9,81,200,27
9,82,200,8
9,83,200,25
9,84,200,18
9,85,200,16
9,86,200,18
9,87,201,11
9,88,201,14
9,89,201,13
9,90,201,17
9,91,201,26
9,92,201,23
9,93,201,19
9,94,202,30
9,95,202,18
9,96,202,14
9,97,202,16
9,98,202,16
9,99,202,27
9,100,203,25
9,101,203,22
9,102,203,17
9,103,203,16
9,104,203,16
9,105,203,16
9,106,203,12
9,107,204,24
9,108,204,23
9,109,204,27
9,110,204,15
9,111,204,37
9,112,205,16
9,113,205,20
9,114,205,22
9,115,205,18
9,116,205,17
9,117,205,27
9,118,206,31
9,119,206,8
9,120,206,52
9,121,206,18
9,122,206,22
9,123,207,16
9,124,207,18
9,125,207,12
9,126,207,16
9,127,207,21
9,128,207,14
9,129,207,15
10,1,208,5
10,2,208,26
10,3,208,29
10,4,208,28
10,5,208,23
10,6,208,14
10,7,209,15
10,8,209,6
10,9,209,15
10,10,209,14
10,11,209,18
10,12,209,27
10,13,209,17
10,14,209,10
10,15,210,39
10,16,210,18
10,17,210,14
10,18,210,29
10,19,210,17
